时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2024-06-21,五	12.14		12.88		12.10		12.48		+1.38%		6.34%		1,417,389	17,832,363	0		0		
2024-06-24,一	12.45		12.66		11.81		12.10		-3.04%		6.81%		1,214,440	14,745,721	0		0		
2024-06-25,二	12.20		13.21		12.09		12.93		+6.86%		9.26%		1,766,116	22,336,548	0		0		
2024-06-26,三	13.00		13.25		12.70		13.05		+0.93%		4.25%		1,425,262	18,430,973	0		0		
2024-06-27,四	13.04		13.82		12.54		13.40		+2.68%		9.81%		2,826,809	37,421,507	0		0		
2024-06-28,五	13.15		13.66		12.80		12.98		-3.13%		6.42%		1,919,700	25,334,688	0		0		
2024-07-01,一	12.71		13.40		12.69		13.21		+1.77%		5.47%		1,511,409	19,722,427	0		0		
2024-07-02,二	14.18		16.88		13.50		13.50		+2.20%		25.59%		8,935,557	137,039,140	0		0		
2024-07-03,三	13.09		13.99		12.81		13.10		-2.96%		8.74%		6,436,059	85,127,706	0		0		
2024-07-04,四	12.91		13.29		12.38		12.48		-4.73%		6.95%		4,181,070	53,409,990	0		0		
2024-07-05,五	12.38		12.87		12.20		12.55		+0.56%		5.37%		2,944,326	37,095,039	0		0		
2024-07-08,一	12.41		12.41		11.20		11.50		-8.37%		9.64%		2,848,551	33,787,194	0		0		
2024-07-09,二	11.49		11.88		11.26		11.75		+2.17%		5.39%		1,928,042	22,378,007	0		0		
2024-07-10,三	11.46		11.95		11.41		11.45		-2.55%		4.60%		1,406,778	16,373,922	0		0		
2024-07-11,四	11.72		12.22		11.60		11.95		+4.37%		5.41%		2,227,629	26,539,570	0		0		
2024-07-12,五	11.85		12.55		11.80		12.33		+3.18%		6.28%		2,292,912	27,978,154	0		0		
2024-07-15,一	12.32		12.44		11.86		12.41		+0.65%		4.70%		2,010,099	24,353,866	0		0		
2024-07-16,二	12.30		13.25		12.21		13.14		+5.88%		8.38%		3,034,226	38,980,301	0		0		
2024-07-17,三	13.15		14.24		12.98		13.76		+4.72%		9.59%		4,263,723	58,227,904	0		0		
2024-07-18,四	13.58		14.70		12.85		13.56		-1.45%		13.44%		3,789,824	51,205,334	0		0		
2024-07-19,五	13.43		13.83		13.00		13.25		-2.29%		6.12%		2,412,392	32,172,971	0		0		
